Date,Adj Close,Close,High,Low,Open,Volume
7/1/2015,174.9171295,207.5,208.0299988,206.5599976,207.7299957,135979900
7/2/2015,174.756897,207.3099976,208.2700043,206.8099976,208.0700073,104373700
7/6/2015,174.2595825,206.7200012,207.6499939,205.5299988,205.7700043,117975400
7/7/2015,175.3554688,208.0200043,208.1699982,204.1100006,206.9600067,173820200
7/8/2015,172.4134827,204.5299988,206.7599945,204.25,206.4199982,164020100
7/9/2015,172.7253723,204.8999939,207.3500061,204.7700043,207.0399933,144113100
7/10/2015,174.9002533,207.4799957,207.9799957,204.9499969,207.2899933,129456900
7/13/2015,176.8306427,209.7700043,209.8999939,208.9400024,208.9900055,106069400
7/14/2015,177.5977783,210.6799927,211.0500031,209.6499939,209.7200012,81709600
7/15/2015,177.5387573,210.6100006,211.2799988,210.0399933,210.7299957,97914100
7/16/2015,178.9633636,212.3000031,212.3000031,211.5800018,211.8699951,106683300
7/17/2015,179.1150818,212.4799957,212.5500031,211.8000031,212.2899933,89030000
7/20/2015,179.2078247,212.5899963,213.1799927,212.2100067,212.75,70446800
7/21/2015,178.4997711,211.75,212.7400055,211.3899994,212.4299927,77965000
7/22/2015,178.1794128,211.3699951,211.7700043,210.8899994,210.9299927,88667900
7/23/2015,177.1762543,210.1799927,211.6499939,209.75,211.5299988,90509100
7/24/2015,175.3385925,208,210.3699951,207.6000061,210.3000031,117755000
7/27/2015,174.3185883,206.7899933,207.5500031,206.2599945,206.9400024,132361100
7/28/2015,176.4597321,209.3300018,209.5,206.8000031,207.7899933,123544800
7/29/2015,177.6736603,210.7700043,211.0399933,209.3099976,209.4799957,105791300
7/30/2015,177.7157745,210.8200073,211.0200043,209.4199982,210.1600037,91304400
7/31/2015,177.4460449,210.5,211.4499969,210.1600037,211.4199982,103266900
8/3/2015,176.8474884,209.7899933,210.5299988,208.6499939,210.4600067,113965700
8/4/2015,176.5018921,209.3800049,210.25,208.8000031,209.6999969,81820800
8/5/2015,177.0835419,210.0700073,211.3099976,209.7299957,210.4499969,85786800
8/6/2015,175.6336517,208.3500061,210.4199982,207.6499939,210.2899933,116030800
8/7/2015,175.2964325,207.9499969,208.3399963,206.8699951,208.1600037,117858000
8/10/2015,177.5050201,210.5700073,210.6699982,209.2799988,209.2799988,80270700
8/11/2015,175.9034119,208.6699982,209.4700012,207.7599945,208.9700012,126081400
8/12/2015,176.11409,208.9199982,209.1399994,205.3600006,207.1100006,172123700
8/13/2015,175.894989,208.6600037,209.5500031,208.0099945,208.7299957,89383300
8/14/2015,176.535614,209.4199982,209.5099945,208.2599945,208.4299927,72786500
8/17/2015,177.5219116,210.5899963,210.5899963,208.1600037,208.7100067,79072600
8/18/2015,177.0076904,209.9799957,210.6799927,209.6999969,210.2599945,71692700
8/19/2015,175.6083374,208.3200073,210.0099945,207.3500061,209.0899963,172946000
8/20/2015,171.941452,203.9700012,208.2899933,203.8999939,206.5099945,194327900
8/21/2015,166.7655487,197.8300018,203.9400024,197.5200043,201.7299957,346588500
8/24/2015,159.7435455,189.5,197.4799957,182.3999939,187.4900055,507244300
8/25/2015,157.8637695,187.2700043,195.4499969,186.9199982,195.4299927,369833100
8/26/2015,163.9246826,194.4600067,194.7899933,188.3699951,192.0800018,339257000
8/27/2015,167.9793854,199.2700043,199.4199982,195.2100067,197.0200043,274143900
8/28/2015,167.9878845,199.2799988,199.8399963,197.9199982,198.5,160414400
8/31/2015,166.630661,197.6699982,199.1300049,197.0099945,198.1100006,163298800
9/1/2015,161.6571198,191.7700043,194.7700043,190.7299957,193.1199951,256000400
9/2/2015,164.7255554,195.4100037,195.4600067,192.4199982,194.6199951,160269300
9/3/2015,164.8435974,195.5500031,198.0500031,194.9600067,196.2599945,152087800
9/4/2015,162.3483734,192.5899963,193.8600006,191.6100006,192.8500061,207081000
9/8/2015,166.4283447,197.4299927,197.6100006,195.1699982,195.9400024,116025700
9/9/2015,164.2028809,194.7899933,199.4700012,194.3500061,199.3200073,149347700
9/10/2015,165.0964508,195.8500061,197.2200012,194.25,194.5599976,158611100
9/11/2015,165.8466949,196.7400055,196.8200073,194.5299988,195.3800049,119691200
9/14/2015,165.2313385,196.0099945,197.0099945,195.4299927,196.9499969,79452000
9/15/2015,167.2966461,198.4600067,198.9900055,195.9600067,196.6100006,113806200
9/16/2015,168.7465363,200.1799927,200.4100037,198.4100037,198.8200073,99581600
9/17/2015,168.367218,199.7299957,202.8899994,199.2799988,200.0200043,276046600
9/18/2015,165.6158142,195.4499969,198.6799927,194.9600067,195.7100067,223657500
9/21/2015,166.4716949,196.4600067,197.6799927,195.2100067,196.4400024,105726200
9/22/2015,164.3108826,193.9100037,194.4600067,192.5599976,193.8800049,153890900
9/23/2015,164.0481873,193.6000061,194.6699982,192.9100037,194.1100006,92790600
9/24/2015,163.4550323,192.8999939,193.4499969,190.5599976,192.1499939,159378800
9/25/2015,163.4127197,192.8500061,195,191.8099976,194.6399994,155054800
9/28/2015,159.3115082,188.0099945,191.9100037,187.6399994,191.7799988,178515900
9/29/2015,159.4047089,188.1199951,189.7400055,186.9299927,188.2700043,159045600
9/30/2015,162.3789368,191.6300049,191.8300018,189.4400024,190.3699951,163452000
10/1/2015,162.8025665,192.1300049,192.4900055,189.8200073,192.0800018,131079000
10/2/2015,165.2345428,195,195.0299988,189.1199951,189.7700043,211003300
10/5/2015,168.1748505,198.4700012,198.7400055,196.3300018,196.4600067,126320800
10/6/2015,167.5986938,197.7899933,198.9799957,197,198.3099976,110274500
10/7/2015,168.9713745,199.4100037,199.8300018,197.4799957,198.8999939,124307300
10/8/2015,170.4966125,201.2100067,201.5500031,198.5899963,198.9499969,153055200
10/9/2015,170.5982971,201.3300018,201.8999939,200.5800018,201.3800049,107069200
10/12/2015,170.7593079,201.5200043,201.7599945,200.9100037,201.4199982,56395600
10/13/2015,169.6831665,200.25,202.1600037,200.0500031,200.6499939,88038700
10/14/2015,168.8696594,199.2899933,200.8699951,198.9400024,200.1799927,99106200
10/15/2015,171.4626007,202.3500061,202.3600006,199.6399994,200.0800018,134142200
10/16/2015,172.242157,203.2700043,203.2899933,201.9199982,202.8300018,114580100
10/19/2015,172.326889,203.3699951,203.3699951,202.1300049,202.5,76523900
10/20/2015,172.1065674,203.1100006,203.8399963,202.5500031,202.8500061,78448500
10/21/2015,171.0389099,201.8500061,203.7899933,201.6499939,203.6100006,102038000
10/22/2015,173.9284058,205.2599945,205.5099945,201.8500061,202.9799957,174911700
10/23/2015,175.8349152,207.5099945,207.9499969,206.3000031,207.25,144442300
10/26/2015,175.4028015,207,207.3699951,206.5599976,207.3000031,69033000
10/27/2015,175.0638885,206.6000061,207,205.7899933,206.1999969,77905800
10/28/2015,177.0551453,208.9499969,208.9799957,206.2100067,207,135906700
10/29/2015,176.9534454,208.8300018,209.2700043,208.2100067,208.3500061,90525500
10/30/2015,176.1908264,207.9299927,209.4400024,207.7400055,209.0599976,131076900
11/2/2015,178.2753448,210.3899994,210.6199951,208.1699982,208.3200073,86270800
11/3/2015,178.7922058,211,211.6600037,209.6999969,209.9700012,95246100
11/4/2015,178.2499542,210.3600006,211.5,209.7200012,211.3500061,96224500
11/5/2015,178.0719757,210.1499939,210.9799957,209.0899963,210.4299927,78408700
11/6/2015,177.9787292,210.0399933,210.3200073,208.4600067,209.7400055,110471500
11/9/2015,176.3179169,208.0800018,209.4900055,206.9499969,209.3099976,131008700
11/10/2015,176.7246704,208.5599976,208.6000061,207.1900024,207.5099945,75874600
11/11/2015,176.0297852,207.7400055,208.9400024,207.6600037,208.8800049,67846000
11/12/2015,173.5724792,204.8399963,207.0599976,204.8200073,206.5,121315200
11/13/2015,171.6235657,202.5399933,204.6699982,202.4400024,204.3500061,153577100
11/16/2015,174.2333832,205.6199951,205.6900024,202.1799927,202.3200073,117645200
11/17/2015,174.1063385,205.4700012,207.0399933,204.8800049,205.9900055,121123700
11/18/2015,176.8687439,208.7299957,208.8999939,205.9900055,206.0399933,121342500
11/19/2015,176.7161713,208.5500031,209.0500031,208.1999969,208.5899963,88220500
11/20/2015,177.3601685,209.3099976,210.1199951,208.8600006,209.4499969,94011500
11/23/2015,177.1568298,209.0700073,209.9799957,208.5200043,209.3800049,64931200
11/24/2015,177.3940887,209.3500061,209.8300018,207.4100037,207.8699951,98874400
11/25/2015,177.3686676,209.3200073,209.7400055,209.0099945,209.5,51980100
11/27/2015,177.5720215,209.5599976,209.8000031,208.8600006,209.4299927,37317800
11/30/2015,176.8348083,208.6900024,209.8899994,208.5599976,209.75,112822700
12/1/2015,178.5210876,210.6799927,210.8200073,209.1100006,209.4400024,97858400
12/2/2015,176.699234,208.5299988,211,208.2299957,210.6199951,108441300
12/3/2015,174.2249603,205.6100006,209.1499939,204.75,208.8300018,166224200
12/4/2015,177.622879,209.6199951,209.9700012,205.6100006,205.6100006,192913900
12/7/2015,176.5467377,208.3500061,209.7299957,207.1999969,209.2299957,102027100
12/8/2015,175.3604126,206.9499969,208.2899933,205.7799988,206.4900055,103372400
12/9/2015,173.996109,205.3399963,208.6799927,204.1799927,206.1900024,162401500
12/10/2015,174.445282,205.8699951,207.4299927,205.1399994,205.4199982,116128900
12/11/2015,171.0643463,201.8800049,204.1399994,201.5099945,203.3500061,211173300
12/14/2015,171.9286346,202.8999939,203.0500031,199.9499969,202.0700073,182385200
12/15/2015,173.7335205,205.0299988,206.1100006,202.8699951,204.6999969,154069600
12/16/2015,176.2755585,208.0299988,208.3899994,204.8000031,206.3699951,197017000
12/17/2015,173.5894318,204.8600006,208.4799957,204.8399963,208.3999939,173092500
12/18/2015,170.496933,200.0200043,202.9299927,199.8300018,202.7700043,251393500
12/21/2015,171.9033813,201.6699982,201.8800049,200.0899963,201.4100037,99094300
12/22/2015,173.4632874,203.5,203.8500061,201.5500031,202.7200012,111026200
12/23/2015,175.6112976,206.0200043,206.0700073,204.5800018,204.6900024,110987200
12/24/2015,175.3215027,205.6799927,206.3300018,205.4199982,205.7200012,48539600
12/28/2015,174.9209137,205.2100067,205.2599945,203.9400024,204.8600006,65899900
12/29/2015,176.7876892,207.3999939,207.7899933,206.4700012,206.5099945,92640700
12/30/2015,175.5346069,205.9299927,207.2100067,205.7599945,207.1100006,63317700
12/31/2015,173.7786713,203.8699951,205.8899994,203.8699951,205.1300049,114877900
1/4/2016,171.3493805,201.0200043,201.0299988,198.5899963,200.4900055,222353500
1/5/2016,171.6391449,201.3600006,201.8999939,200.0500031,201.3999939,110845800
1/6/2016,169.4740906,198.8200073,200.0599976,197.6000061,198.3399963,152112600
1/7/2016,165.4081268,194.0500031,197.4400024,193.5899963,195.3300018,213436100
1/8/2016,163.592514,191.9199982,195.8500061,191.5800018,195.1900024,209817200
1/11/2016,163.7544556,192.1100006,193.4100037,189.8200073,193.0099945,187941300
1/12/2016,165.0756836,193.6600037,194.5500031,191.1399994,193.8200073,172330500
1/13/2016,160.9586182,188.8300018,194.8600006,188.3800049,194.4499969,221168900
1/14/2016,163.6010132,191.9299927,193.2599945,187.6600037,189.5500031,240795600
1/15/2016,160.0891418,187.8099976,188.7599945,185.5200043,186.7700043,324846400
1/19/2016,160.3022614,188.0599976,190.1100006,186.1999969,189.9600067,195244400
